CUPS;FECHA-HORA;INV / VER;PERIODO TARIFARIO;CONSUMO Wh;GENERACION Wh;
ES0021000008305769EY;2024/07/01 01:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/01 02:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/01 03:00;1;Valle;21;1;
ES0021000008305769EY;2024/07/01 04:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/01 05:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/01 06:00;1;Valle;81;0;
ES0021000008305769EY;2024/07/01 07:00;1;Valle;377;0;
ES0021000008305769EY;2024/07/01 08:00;1;Valle;400;0;
ES0021000008305769EY;2024/07/01 09:00;1;Llano;291;0;
ES0021000008305769EY;2024/07/01 10:00;1;Llano;378;0;
ES0021000008305769EY;2024/07/01 11:00;1;Punta;244;0;
ES0021000008305769EY;2024/07/01 12:00;1;Punta;55;1;
ES0021000008305769EY;2024/07/01 13:00;1;Punta;23;47;
ES0021000008305769EY;2024/07/01 14:00;1;Punta;4;2350;
ES0021000008305769EY;2024/07/01 15:00;1;Llano;0;2819;
ES0021000008305769EY;2024/07/01 16:00;1;Llano;4;2046;
ES0021000008305769EY;2024/07/01 17:00;1;Llano;38;114;
ES0021000008305769EY;2024/07/01 18:00;1;Llano;0;2038;
ES0021000008305769EY;2024/07/01 19:00;1;Punta;0;1739;
ES0021000008305769EY;2024/07/01 20:00;1;Punta;0;820;
ES0021000008305769EY;2024/07/01 21:00;1;Punta;28;0;
ES0021000008305769EY;2024/07/01 22:00;1;Punta;14;1;
ES0021000008305769EY;2024/07/01 23:00;1;Llano;14;0;
ES0021000008305769EY;2024/07/02 00:00;1;Llano;15;0;
ES0021000008305769EY;2024/07/02 01:00;1;Valle;15;1;
ES0021000008305769EY;2024/07/02 02:00;1;Valle;15;0;
ES0021000008305769EY;2024/07/02 03:00;1;Valle;16;0;
ES0021000008305769EY;2024/07/02 04:00;1;Valle;15;0;
ES0021000008305769EY;2024/07/02 05:00;1;Valle;156;0;
ES0021000008305769EY;2024/07/02 06:00;1;Valle;449;0;
ES0021000008305769EY;2024/07/02 07:00;1;Valle;408;0;
ES0021000008305769EY;2024/07/02 08:00;1;Valle;281;0;
ES0021000008305769EY;2024/07/02 09:00;1;Llano;240;0;
ES0021000008305769EY;2024/07/02 10:00;1;Llano;640;1;
ES0021000008305769EY;2024/07/02 11:00;1;Punta;51;0;
ES0021000008305769EY;2024/07/02 12:00;1;Punta;49;2;
ES0021000008305769EY;2024/07/02 13:00;1;Punta;36;160;
ES0021000008305769EY;2024/07/02 14:00;1;Punta;0;2685;
ES0021000008305769EY;2024/07/02 15:00;1;Llano;0;3234;
ES0021000008305769EY;2024/07/02 16:00;1;Llano;0;3236;
ES0021000008305769EY;2024/07/02 17:00;1;Llano;0;2810;
ES0021000008305769EY;2024/07/02 18:00;1;Llano;0;1923;
ES0021000008305769EY;2024/07/02 19:00;1;Punta;0;1410;
ES0021000008305769EY;2024/07/02 20:00;1;Punta;2;653;
ES0021000008305769EY;2024/07/02 21:00;1;Punta;12;29;
ES0021000008305769EY;2024/07/02 22:00;1;Punta;20;1;
ES0021000008305769EY;2024/07/02 23:00;1;Llano;21;0;
ES0021000008305769EY;2024/07/03 00:00;1;Llano;22;0;
ES0021000008305769EY;2024/07/03 01:00;1;Valle;21;1;
ES0021000008305769EY;2024/07/03 02:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/03 03:00;1;Valle;20;0;
ES0021000008305769EY;2024/07/03 04:00;1;Valle;20;1;
ES0021000008305769EY;2024/07/03 05:00;1;Valle;20;0;
ES0021000008305769EY;2024/07/03 06:00;1;Valle;298;0;
ES0021000008305769EY;2024/07/03 07:00;1;Valle;386;0;
ES0021000008305769EY;2024/07/03 08:00;1;Valle;362;0;
ES0021000008305769EY;2024/07/03 09:00;1;Llano;291;0;
ES0021000008305769EY;2024/07/03 10:00;1;Llano;95;0;
ES0021000008305769EY;2024/07/03 11:00;1;Punta;53;0;
ES0021000008305769EY;2024/07/03 12:00;1;Punta;49;1;
ES0021000008305769EY;2024/07/03 13:00;1;Punta;13;731;
ES0021000008305769EY;2024/07/03 14:00;1;Punta;0;2645;
ES0021000008305769EY;2024/07/03 15:00;1;Llano;0;3076;
ES0021000008305769EY;2024/07/03 16:00;1;Llano;0;3431;
ES0021000008305769EY;2024/07/03 17:00;1;Llano;0;2845;
ES0021000008305769EY;2024/07/03 18:00;1;Llano;0;1961;
ES0021000008305769EY;2024/07/03 19:00;1;Punta;0;1420;
ES0021000008305769EY;2024/07/03 20:00;1;Punta;0;802;
ES0021000008305769EY;2024/07/03 21:00;1;Punta;9;80;
ES0021000008305769EY;2024/07/03 22:00;1;Punta;14;0;
ES0021000008305769EY;2024/07/03 23:00;1;Llano;14;0;
ES0021000008305769EY;2024/07/04 00:00;1;Llano;14;0;
ES0021000008305769EY;2024/07/04 01:00;1;Valle;13;1;
ES0021000008305769EY;2024/07/04 02:00;1;Valle;14;0;
ES0021000008305769EY;2024/07/04 03:00;1;Valle;13;0;
ES0021000008305769EY;2024/07/04 04:00;1;Valle;13;1;
ES0021000008305769EY;2024/07/04 05:00;1;Valle;49;0;
ES0021000008305769EY;2024/07/04 06:00;1;Valle;359;0;
ES0021000008305769EY;2024/07/04 07:00;1;Valle;402;0;
ES0021000008305769EY;2024/07/04 08:00;1;Valle;351;0;
ES0021000008305769EY;2024/07/04 09:00;1;Llano;217;0;
ES0021000008305769EY;2024/07/04 10:00;1;Llano;126;0;
ES0021000008305769EY;2024/07/04 11:00;1;Punta;49;1;
ES0021000008305769EY;2024/07/04 12:00;1;Punta;48;1;
ES0021000008305769EY;2024/07/04 13:00;1;Punta;23;420;
ES0021000008305769EY;2024/07/04 14:00;1;Punta;0;2342;
ES0021000008305769EY;2024/07/04 15:00;1;Llano;7;2513;
ES0021000008305769EY;2024/07/04 16:00;1;Llano;0;3169;
ES0021000008305769EY;2024/07/04 17:00;1;Llano;0;2736;
ES0021000008305769EY;2024/07/04 18:00;1;Llano;10;972;
ES0021000008305769EY;2024/07/04 19:00;1;Punta;4;1392;
ES0021000008305769EY;2024/07/04 20:00;1;Punta;4;703;
ES0021000008305769EY;2024/07/04 21:00;1;Punta;9;98;
ES0021000008305769EY;2024/07/04 22:00;1;Punta;16;1;
ES0021000008305769EY;2024/07/04 23:00;1;Llano;17;0;
ES0021000008305769EY;2024/07/05 00:00;1;Llano;21;0;
ES0021000008305769EY;2024/07/05 01:00;1;Valle;20;0;
ES0021000008305769EY;2024/07/05 02:00;1;Valle;21;1;
